SNAPDIST,DISTRICT,DZCNTYNM,REGION,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT11R,DA0708DR11R,DADC4X11R,DA0GR11N,DAGC4X11R,DA00A001512R,DA00AR01512R,DA00AW01512R,DA00AM01512R,DA00AC01512R,DA00AS01512R,DB00A001512R,DH00A001512R,DW00A001512R,DI00A001512R,D300A001512R,D400A001512R,D200A001512R,DE00A001512R,DA0CT11R,DA0CC11R,DA0CS11R,DA0CA11R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTO2FP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFFENDT,DPFFENDP,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPAOTHP
Perryton,179901,179 OCHILTREE,16,6,2365,0,66,32,1,0,0,1,59.5,27,7,26,29,5,95.9,0,2.3,132,95.5,67,71,58,67,65,64,.,60,79,67,100,.,65,58,60.3,38.4,.,21.5,323,176,1,3,3,55,13,25,90604,56288,45408,42132,24,7.3,13.4,32.2,13.6,12.3,12.4,0,10,89,1,84,6,1,2,4,4,510731,1.135000,21723271,9499,32,55,13,4087963,25,20047471,17972769,7859,57,6,6,10,21,10272887,4492,54,18,12,1,4,0,6,1,3
Boys Ranch,180901,180 OLDHAM,16,4,343,13,19,65,1,1,0,2,80.2,0,13,0,21,2,97.3,2.2,21.6,28,75.7,76,75,58,75,86,82,62,76,79,.,.,.,80,73,.,5.6,.,16.3,92,64,3,6,7,70,5,8,85195,71518,56884,51537,10,3.7,5.3,41.3,12.1,16.9,18,2,9,84,5,91,7,0,0,3,0,0,0.000000,7892860,22746,47,33,20,841179,13,7853410,7846989,22614,67,8,9,0,15,5277583,15209,54,14,16,0,4,0,4,1,6
Vega,180902,180 OLDHAM,16,2,337,1,12,86,1,1,0,0,30.3,1,8,1,39,5,97.4,0,0,19,95,84,89,79,86,82,73,.,62,86,.,80,.,.,79,68.8,0,.,18.5,58,35,3,4,7,60,7,19,63750,62498,47659,42626,9,5.8,9.7,26,11.8,5.9,7,0,3,97,0,84,6,0,0,10,0,469918,1.178000,4401211,13542,50,40,10,2711924,78,6999073,3673921,11304,59,7,6,9,20,2158250,6641,61,12,9,0,9,0,7,1,0
Adrian,180903,180 OLDHAM,16,1,130,0,35,62,0,0,0,2,60,2,10,2,40,4,95.6,0,0,7,100,72,76,59,66,75,90,.,67,75,.,.,.,89,65,66.7,.,.,.,27,16,4,0,4,59,0,33,75000,51500,26797,40079,4,4.9,8.2,31.5,15.8,0,6.7,0,0,87,13,89,0,1,0,10,0,330825,1.040000,1890710,13902,66,27,7,1049668,68,1750026,1705756,12542,55,14,2,12,17,945278,6951,62,11,18,0,6,0,2,1,0
Wildorado,180904,180 OLDHAM,16,1,99,1,19,78,0,2,0,0,47.5,1,9,1,0,0,97,.,.,0,.,91,94,94,88,89,.,.,84,92,.,.,.,.,84,.,.,.,.,19,10,3,8,2,54,11,22,71200,54442,51724,40786,16,5.3,9.8,30.5,10,9.9,10.5,0,0,90,10,80,10,10,0,0,0,499521,1.040000,1579696,15641,34,58,8,243030,24,1168592,1154279,11429,55,14,4,12,15,629728,6235,55,14,31,0,0,0,1,0,0
Bridge City,181901,181 ORANGE,05,4,2693,0,15,80,1,3,0,1,38.7,4,9,4,20,9,96.2,0,4.5,173,94.4,82,83,71,83,87,80,89,74,83,97,87,.,83,77,68.8,13,927,20,344,166,1,3,7,48,10,31,89312,64891,46607,43462,8,7.8,16.2,18.9,14.7,9.1,7.3,0,6,93,1,72,10,9,2,3,5,322702,1.190000,24943372,9638,50,42,8,3022630,16,23026577,20745764,8016,52,5,5,16,22,10711703,4139,49,19,19,1,3,2,5,2,0
Orangefield,181905,181 ORANGE,05,3,1733,1,7,87,1,2,0,2,37.7,2,10,3,28,5,96.1,0,5.1,131,94.2,76,79,68,77,79,70,.,68,77,.,70,.,89,64,82.8,24,990,21.4,238,116,2,3,7,48,10,29,84903,64849,52126,42540,5,7.3,15,31.9,11.7,16.2,16.5,0,2,98,0,87,2,1,0,6,4,253062,1.170000,15008268,8792,58,35,8,1693514,15,14610063,13716051,8035,52,5,5,13,25,7083193,4149,60,17,7,1,6,2,6,1,0
West Orange-Cove Cons,181906,181 ORANGE,05,4,2500,61,9,25,1,0,0,4,86.4,3,13,3,14,5,94.1,1.2,18.6,134,79.5,56,61,45,49,65,62,52,72,64,73,73,.,65,54,82.2,4.5,771,19.3,370,159,1,4,10,43,12,30,90613,68819,47514,45699,35,6.8,15.7,34.5,13.6,15.8,27.3,16,1,82,1,87,6,0,1,3,2,645716,1.286000,32282716,12765,20,61,20,8706766,46,35430003,27413429,10840,54,8,4,15,19,14867606,5879,36,15,38,1,5,0,3,1,1
Vidor,181907,181 ORANGE,05,7,4933,0,6,91,1,1,0,1,57.8,0,15,0,26,5,95.3,0.3,7.4,335,88.3,74,75,67,73,76,75,83,66,74,60,98,91,78,67,53.6,15.6,928,21.5,703,345,1,3,7,49,11,30,87004,69840,55248,45882,6,7,14.3,30.2,12.4,11.2,10.4,0,5,93,1,67,13,9,0,6,6,177699,1.232000,47832259,9651,62,24,14,3135481,9,45392937,43106950,8698,57,7,6,12,19,24575103,4959,52,25,9,0,5,4,3,0,3
Little Cypress-Mauriceville,181908,181 ORANGE,05,6,3563,6,8,81,1,1,0,3,40.6,2,12,2,25,5,95.4,0,3.3,262,94.5,79,81,67,78,84,80,60,72,81,85,91,78,65,69,62.6,27.3,991,22.8,506,249,1,3,7,49,12,28,87519,67447,53728,43354,4,7,14.3,26.6,12.6,14.2,9.1,0,1,98,1,70,8,6,2,6,9,269750,1.156000,30693702,8610,53,38,10,3148190,12,30631602,28644671,8035,57,6,6,11,20,16243145,4556,53,19,11,0,5,5,3,2,1
Gordon,182901,182 PALO PINTO,11,1,233,0,13,82,1,0,0,4,44.2,0,10,0,38,2,96.2,0,9.1,11,90.9,78,80,64,76,86,79,.,75,79,.,.,.,73,77,72.7,12.5,.,19.3,35,22,3,1,3,64,0,30,77400,60425,50984,39519,6,6.7,10.4,40.3,12.1,19,15.4,0,4,96,0,86,0,0,0,9,4,599847,1.092000,2674272,12046,30,66,4,747862,33,2347110,2102733,9472,57,10,5,13,15,1201615,5413,63,10,15,0,9,0,3,1,0
Graford,182902,182 PALO PINTO,11,2,316,0,10,89,0,0,0,1,66.5,3,8,3,25,9,96,0,0,15,93.8,74,75,72,73,76,71,.,70,74,.,.,.,100,69,61.5,12.5,908,.,48,28,4,4,2,58,6,25,61633,62500,49956,41917,0,6.6,11.3,28.6,14.9,10.7,29,0,0,100,0,87,4,4,0,5,0,2299707,1.061000,4036783,13546,11,83,6,1160496,14,4343743,3358407,11270,57,10,7,9,17,1924406,6458,65,8,11,0,10,0,4,1,0
Mineral Wells,182903,182 PALO PINTO,11,6,3554,3,37,57,0,0,0,2,71.7,8,10,7,25,5,95.2,0.3,5.9,220,90.4,70,72,56,69,76,71,59,69,71,78,87,.,66,64,44,23.9,960,20.9,454,241,1,3,7,53,12,24,94272,68277,48120,42185,14,7.8,14.7,28.9,13.4,14.5,14.6,1,4,93,2,58,12,10,5,5,10,209087,1.296000,34307466,9637,55,32,13,2742204,11,34565548,30151324,8469,58,5,5,10,21,17486096,4912,43,26,13,5,5,2,4,0,1
Santo,182904,182 PALO PINTO,11,2,525,0,15,82,0,0,0,2,43.4,4,8,4,31,11,96.3,0,0,29,100,80,79,62,82,85,83,.,72,81,.,86,.,62,74,65.4,11.8,1034,19.2,73,38,3,4,4,52,10,27,77532,65782,39823,41385,4,7.2,13.9,26.8,14.9,5.3,13.5,0,0,100,0,80,5,3,2,8,0,474168,1.312000,5478481,10475,29,67,4,1064951,24,4793992,4407279,8427,52,11,6,13,18,2276303,4352,64,10,10,1,8,0,6,1,0
Strawn,182905,182 PALO PINTO,11,1,172,2,36,62,0,0,0,0,62.2,9,12,9,26,3,97.4,0,0,12,100,71,70,61,76,70,71,100,57,77,.,.,.,.,60,62.5,40,.,21.2,30,19,1,3,1,63,0,32,70126,62987,37898,42952,3,5.7,9.1,15.8,15.6,0,4.6,0,5,89,5,90,3,0,0,7,0,416504,1.040000,1909170,10786,50,46,4,781184,43,1989920,1892339,10691,58,7,5,13,17,1089820,6157,59,12,14,1,5,1,8,1,0
Palo Pinto,182906,182 PALO PINTO,11,1,109,0,13,86,1,0,0,0,51.4,3,8,3,0,1,96.5,.,.,0,.,95,91,100,96,100,.,.,80,98,.,.,.,.,91,.,.,.,.,18,10,6,6,1,55,0,33,94601,74160,49875,45064,0,6,10.9,10,16.5,10,10,0,0,100,0,80,10,10,0,0,0,4034786,1.061000,1767166,16065,12,84,4,1101864,22,1317602,1229770,11180,58,17,5,6,14,713524,6487,77,8,15,0,0,0,0,0,0
Panola Charter,183801,183 PANOLA,07,3,178,6,11,83,0,0,0,0,24.7,0,4,0,81,15,94.6,2.7,14.3,34,63.3,86,91,71,85,88,85,96,83,85,.,.,.,100,76,9.1,.,.,.,20,9,7,15,5,44,0,29,65081,65219,47354,35798,15,8.7,19.9,33.5,15,44.7,45.6,22,11,66,0,68,3,0,0,29,0,0,0.000000,1808725,11521,87,2,11,0,0,1460562,1433435,9130,39,39,11,5,6,560476,3570,69,8,12,0,11,0,0,0,0
Beckville,183901,183 PANOLA,07,2,662,7,11,79,0,0,0,3,32.8,2,7,2,31,3,95.4,0,2.6,37,94.9,78,83,61,78,80,83,57,75,81,.,.,.,63,66,70,19,.,18.8,102,58,2,3,6,57,8,23,64000,66534,45458,42897,10,6.5,11.4,25.8,13.7,17.8,13,2,2,95,2,74,3,11,1,9,1,915908,1.100000,9148315,13434,31,59,10,409158,5,10239100,7234108,10623,53,11,5,12,19,3805015,5587,52,9,13,0,15,0,9,0,1
Carthage,183902,183 PANOLA,07,5,2885,24,17,57,0,1,0,1,56.7,8,10,8,23,7,95.1,0,5,189,94,77,79,68,79,76,72,62,70,85,61,84,.,71,69,57.1,23.7,1061,19.9,438,217,1,3,6,50,12,29,94483,77825,52541,47389,22,6.6,13.3,20.3,15.6,28.7,7.6,10,1,88,1,71,11,6,3,5,4,1091668,1.140000,39281644,13754,27,65,8,3722634,9,51262418,29720919,10406,56,7,5,10,22,16489544,5774,58,17,16,1,5,2,0,1,0
Gary,183904,183 PANOLA,07,1,407,0,5,94,0,0,0,1,41.3,3,11,3,19,1,94.9,0,3.1,30,93.8,80,87,60,83,76,77,.,69,80,.,.,.,.,77,43.5,40,.,22.1,65,36,3,2,6,55,15,18,85101,71533,41479,44557,0,6.3,11.3,13.9,14.4,11.1,8.6,0,0,97,3,81,6,3,2,8,0,676401,1.229000,5319264,12756,33,63,5,845403,19,6002940,4280992,10266,57,9,5,15,14,2457308,5893,65,12,11,0,5,0,5,1,0
Crosstimbers Academy,184801,184 PARKER,11,1,132,2,10,87,2,0,0,0,49.2,0,7,0,80,0,92.3,.,7.1,62,87.5,92,92,71,90,98,91,.,100,91,.,.,.,.,96,7.4,.,.,.,19,12,1,5,9,62,5,18,126000,75000,61429,37483,8,6.8,11,33.3,8.2,25,0,0,8,92,0,74,0,0,0,26,0,0,0.000000,1326558,9475,92,0,7,200,0,1316014,1316014,9400,52,20,6,11,11,680956,4864,57,17,9,0,13,0,0,4,0
Poolville,184901,184 PARKER,11,3,513,0,15,84,1,0,0,0,50.1,6,8,6,27,8,95.8,0,3.4,27,89.7,70,76,62,70,69,64,.,58,72,.,.,.,.,62,20.8,20,1014,.,81,45,1,4,4,55,10,26,92500,69917,40403,43218,2,6.4,11.5,24.7,11.5,17.2,7.5,0,2,98,0,84,4,6,0,5,0,342345,1.263000,5558937,11118,50,43,7,722116,16,5481496,4827347,9655,56,7,7,14,16,2681738,5363,70,10,11,1,4,0,3,1,0
Springtown,184902,184 PARKER,11,6,3396,1,15,82,1,0,0,1,55.2,4,10,4,21,4,95.6,0,2.2,222,96.1,73,77,61,72,78,71,68,68,74,62,90,100,85,67,54.6,23.4,1000,21.5,442,227,1,3,7,51,12,26,99393,69100,54553,44896,7,7.7,15,31.1,12.8,13.3,11.9,0,4,93,4,78,9,3,0,4,5,241771,1.460000,33142588,9615,50,42,8,4873338,20,33759784,28515782,8273,55,6,5,13,21,15782381,4579,68,16,8,0,3,0,4,2,0
Weatherford,184903,184 PARKER,11,11,7583,2,22,73,1,1,0,2,44.5,8,9,8,26,7,95.8,0,0.4,492,95.6,81,83,72,80,86,83,66,72,84,79,92,100,81,72,58.7,36.9,1045,21.8,934,489,1,3,10,52,12,22,122982,68409,59238,48139,14,8.1,15.5,26.7,12.6,19.4,12.5,1,5,91,3,67,12,5,5,4,7,439188,1.400000,76998933,10080,26,66,8,8685418,16,70051840,59444486,7782,58,7,6,10,19,34632062,4534,57,22,8,4,4,1,3,2,0
Millsap,184904,184 PARKER,11,3,751,1,14,84,0,0,0,1,44.5,2,9,2,31,8,96.2,0,0,58,98.3,79,84,64,82,78,76,100,81,79,.,.,.,.,76,53.8,25,946,21.4,120,60,1,6,5,50,12,27,69898,58476,41148,40928,4,6.2,12.6,36.5,10.4,9.9,19.5,0,2,93,5,74,11,6,0,7,3,362313,1.665000,9378077,11916,39,57,4,1512510,23,9111724,7045584,8952,54,8,7,14,18,3775998,4798,62,14,9,0,7,1,4,2,1
Aledo,184907,184 PARKER,11,8,4669,1,11,85,1,1,0,2,12.5,3,7,3,14,8,96.3,0,1.6,372,97.4,90,92,84,90,92,90,87,78,91,89,100,.,86,73,85.4,54.5,1108,24.8,432,279,1,4,9,64,8,13,105767,73769,50549,49118,4,10.8,16.8,17.7,14.4,20.9,5.6,0,3,95,2,76,8,1,2,2,12,521633,1.425000,48342381,10455,16,81,4,16856367,45,51819719,35003172,7570,57,7,6,13,17,19932727,4311,72,14,3,1,2,1,5,2,1
Peaster,184908,184 PARKER,11,3,1026,1,12,84,1,0,0,2,32.4,2,8,2,22,6,96.4,0,4.2,68,94.4,78,80,71,73,87,86,.,68,80,94,.,.,74,69,58.2,33.3,1056,21.5,158,89,1,3,5,56,10,24,78476,64064,55238,43991,7,6.5,11.6,27.5,12.9,14.8,13.5,0,2,90,8,82,7,4,0,6,1,251598,1.353000,13324695,12407,49,42,9,767063,10,15798341,11926612,11105,62,9,5,9,15,7430063,6918,48,40,5,0,3,0,2,2,0
Brock,184909,184 PARKER,11,3,954,1,8,88,1,0,0,3,13.8,3,6,3,27,4,96.9,0,0,70,98.5,91,92,79,94,93,92,89,86,92,.,.,.,92,83,52.3,38.2,1068,22.8,126,72,2,2,2,57,8,28,88238,71129,45291,44726,5,7.6,13.3,7.2,16.1,19.6,5.8,0,1,96,3,85,8,1,0,6,0,456257,1.391000,9759668,10917,27,71,2,1068820,14,9424201,7838299,8768,55,10,4,13,18,4311758,4823,71,13,7,0,4,1,4,0,0
Garner,184911,184 PARKER,11,1,187,0,12,82,2,1,0,3,58.3,1,9,1,0,7,96.6,0,.,0,.,78,81,79,73,86,64,.,74,79,.,.,.,100,72,.,.,.,.,33,16,3,3,6,48,22,18,79500,61400,22364,42129,0,5.8,12.1,32.3,12,0,24.2,0,0,100,0,92,8,0,0,0,0,790437,1.040000,2525046,12378,28,65,7,908920,44,2102768,2044814,10024,61,14,5,9,12,1239648,6077,70,15,11,2,0,1,0,0,0
Bovina,185901,185 PARMER,16,3,476,0,93,7,0,0,0,0,84.5,28,6,28,21,2,96.4,0,0,36,100,68,74,53,67,70,66,.,67,83,.,.,.,.,66,84.8,10.7,.,17.3,91,45,1,3,5,50,15,26,85000,71129,46505,40562,49,5.2,10.5,22.1,14.7,35.2,11.3,0,23,77,0,85,5,2,3,5,0,148133,1.040000,4983656,9908,72,16,12,1636178,38,4952824,4617949,9181,59,6,7,8,21,2743327,5454,58,8,20,2,4,0,5,2,2
Farwell,185902,185 PARMER,16,3,579,1,53,47,0,0,0,0,60.3,13,5,12,19,6,96.4,1.2,2.9,32,97.1,71,78,75,68,68,62,.,63,82,.,.,.,.,65,84.4,29.6,.,21.4,101,51,2,1,5,50,20,22,63750,70743,46854,40368,29,5.7,11.4,31.9,12.4,13.8,12,2,6,92,0,87,2,2,4,5,0,253147,1.100000,5939820,10277,63,29,8,1280340,28,5366954,5119613,8857,60,6,7,9,18,3092282,5350,58,11,17,3,6,0,5,1,0
Friona,185903,185 PARMER,16,4,1204,1,81,17,0,0,0,0,72.5,20,8,17,21,7,96.3,0.5,2.9,69,97.1,73,73,70,76,74,68,.,70,90,.,85,.,91,68,67.2,11.1,.,19,223,106,2,3,6,47,20,23,75511,65306,51974,43381,41,5.4,11.4,23.7,14.8,13.7,20.2,0,14,86,0,74,7,3,7,6,3,254218,0.920000,13709097,11405,61,24,15,4539860,44,12946968,12634426,10511,61,6,5,7,21,7693921,6401,56,16,15,1,5,1,5,2,0
Lazbuddie,185904,185 PARMER,16,1,161,0,50,50,0,0,0,0,76.4,15,6,15,36,1,95.8,0,8.3,11,91.7,72,77,75,70,71,62,.,73,71,.,.,.,.,70,.,25,.,20.4,34,20,1,1,0,59,9,29,52658,52658,.,37424,26,4.7,8,35,10.7,0,9.9,0,20,80,0,73,5,2,8,12,0,359031,1.170000,2024524,14257,53,38,9,525005,30,1993582,1943836,13689,53,13,5,11,17,1036224,7297,61,8,17,4,8,0,2,0,0
Buena Vista,186901,186 PECOS,18,1,102,1,72,28,0,0,0,0,72.5,16,4,16,37,3,95.4,0,0,9,100,72,64,74,68,88,92,.,69,79,.,.,.,.,69,66.7,0,.,17.2,28,12,3,0,0,44,18,36,85000,.,.,49007,29,3.7,8.3,32.7,15,26.5,35.3,0,16,84,0,81,0,7,0,7,5,2212117,1.079000,2243292,21365,20,75,5,1548079,54,2875764,2177565,20739,51,18,2,14,15,1110754,10579,67,5,14,1,6,0,6,1,0
Fort Stockton,186902,186 PECOS,18,5,2331,0,86,12,0,1,0,0,67.4,12,5,12,22,4,94.2,1.1,14.7,127,83.9,70,69,57,73,71,74,.,68,81,.,100,.,100,63,66.1,13.2,856,19.4,352,179,1,3,8,51,11,26,85939,65929,41815,45918,63,6.6,13,39.9,11.5,21.8,15,1,50,48,1,74,6,1,10,4,4,514073,1.168000,29657651,12546,26,63,10,8857461,34,27045718,23314767,9862,56,7,4,14,19,12988241,5494,56,13,17,2,4,1,5,2,1
Iraan-Sheffield,186903,186 PECOS,18,4,482,5,56,37,2,0,0,0,42.9,7,10,7,23,2,95.7,0,8.2,76,55.5,80,88,79,73,82,79,59,75,89,54,.,.,.,68,38,14.8,934,18.1,94,48,1,4,5,51,11,28,112591,80583,60418,54216,31,5.1,10,11.8,18.8,17.6,7.8,2,15,83,0,85,5,2,0,7,0,3367681,1.170000,10114661,21028,22,72,5,2592810,11,10289127,8662525,18009,51,10,7,14,18,4452851,9257,61,12,12,2,5,0,6,1,0
Big Sandy,187901,187 POLK,06,1,518,0,5,70,21,1,0,4,47.5,0,10,0,25,13,96.3,0,3.2,29,96.8,72,72,63,75,68,77,.,65,75,63,100,.,80,65,65.2,13.3,877,18.1,68,40,3,4,1,59,9,25,69747,66647,31580,45361,7,7.6,13,17.5,17.2,16.3,10,0,3,97,0,78,7,5,0,7,2,485480,1.216000,5903071,12222,25,62,13,2741540,62,5188290,4619738,9565,56,7,9,12,16,2579677,5341,63,12,13,0,10,1,2,1,0
Goodrich,187903,187 POLK,06,3,242,18,40,39,0,0,0,3,83.9,12,7,13,31,0,98,0,0,12,90,62,68,60,63,56,53,57,69,56,.,.,.,56,63,88.9,0,843,16.3,44,20,5,5,2,44,16,29,90132,73419,63457,43217,34,5.4,12.4,30.8,17.8,28.2,14,26,0,74,0,84,0,5,0,11,0,467038,1.040000,2986213,12139,48,43,10,1500241,60,2987888,2871533,11673,52,12,9,10,17,1496325,6083,61,7,23,1,4,0,3,1,0
Corrigan-Camden,187904,187 POLK,06,4,1031,26,34,38,0,0,0,1,75.4,10,12,9,26,7,96.5,0,1.7,58,98.3,63,69,42,61,67,71,47,67,73,.,.,.,59,58,84.8,10.3,921,16.5,178,90,1,4,3,50,17,26,113125,65674,48798,42397,22,5.8,11.5,37.3,12,9,14.6,3,2,93,1,79,8,6,0,6,2,242925,1.208000,11098942,11011,56,30,14,974415,12,11433408,10835047,10749,58,5,5,10,22,6300291,6250,57,16,19,1,3,1,4,1,0
Leggett,187906,187 POLK,06,2,187,25,21,52,1,0,0,2,80.2,5,15,5,16,2,96.4,0,0,16,93.8,62,70,62,60,48,66,52,51,71,.,.,.,80,57,63.6,0,.,16.5,40,19,5,3,8,47,15,23,64195,60000,45911,37875,15,4.7,10,31.8,13.7,30.8,25,5,0,90,5,73,15,5,0,6,0,767846,1.132000,2705559,13946,27,62,11,1152931,57,2512243,2363308,12182,55,12,7,10,17,1289370,6646,44,20,24,0,8,0,3,0,0
Livingston,187907,187 POLK,06,5,4097,11,19,66,1,1,0,3,65.3,6,11,6,29,5,96.1,0.2,2.7,249,90.2,75,75,59,75,80,79,64,71,77,.,96,.,77,69,58.1,17.5,933,20.8,593,275,1,3,7,46,11,32,86855,63173,50756,43607,16,6.9,14.9,37,11.6,12.6,20.6,4,4,91,1,80,8,3,2,6,1,314759,1.395000,42699816,10561,40,46,13,4808289,17,67261993,35961106,8895,53,5,5,11,26,18945366,4686,46,25,14,2,4,0,5,2,1
Onalaska,187910,187 POLK,06,2,953,2,7,87,1,1,0,3,73,1,11,1,27,5,95.7,0,1.9,58,94.4,76,80,66,79,77,70,48,79,76,78,100,.,80,73,60.5,11.5,894,19.9,142,66,2,3,3,47,13,32,91816,66362,57639,46900,8,6.7,14.4,31.4,13.6,24.9,14.1,3,2,93,3,82,10,2,0,6,0,447489,1.168000,10297667,10760,41,48,11,3084288,42,10047687,9452738,9877,56,8,6,11,20,5335130,5575,60,15,20,0,3,0,1,0,0
Richard Milburn (Amarillo),188801,188 POTTER,16,1,225,8,35,53,1,1,0,1,74.7,0,14,0,65,0,83.6,.,23.7,96,50.8,69,78,33,65,65,86,75,55,76,.,.,.,.,63,12.8,9.1,937,20.3,21,16,0,5,4,79,0,12,.,70000,54573,41656,5,10.8,13.7,30,14.6,51.8,17.1,0,0,94,6,75,5,0,0,20,0,0,0.000000,1890093,7942,91,0,9,22206,2,2012353,1977444,8309,49,23,11,7,10,973041,4088,62,12,11,0,10,0,0,5,0
Amarillo,188901,188 POTTER,16,53,32796,10,44,38,1,5,0,2,66.8,14,9,14,23,6,95.2,0,5.4,1798,87.4,77,78,65,79,80,78,64,73,85,76,75,86,80,71,55.6,25.5,980,20.6,4086,2260,1,3,10,55,10,21,104590,71982,55635,48283,23,8,14.5,32.5,11.9,14.7,7.9,2,11,85,2,66,10,8,5,4,5,225056,1.170000,288388981,8889,51,34,15,63156239,29,279581049,264367828,8148,63,4,5,9,19,165755990,5109,59,15,14,5,3,0,2,1,1
River Road,188902,188 POTTER,16,4,1511,1,19,77,1,0,0,2,60.3,2,10,1,23,5,95.5,0.4,3.1,98,96.9,72,71,54,78,76,75,.,64,74,80,.,.,85,67,56.8,22,945,20.4,180,95,2,4,5,53,11,25,85839,63226,49894,40935,7,8.4,15.9,35.9,11.5,12.7,16.4,1,4,92,3,85,7,2,0,4,2,155758,1.350000,13783154,9238,63,28,9,2502652,27,12947528,11181228,7494,53,7,5,13,22,5871673,3935,59,14,12,1,4,1,7,2,0
Highland Park,188903,188 POTTER,16,3,922,4,31,57,1,7,0,1,60,6,9,6,28,9,96.6,0,2,48,93.9,77,78,66,78,83,78,76,69,79,.,88,.,90,74,82.2,21.6,1004,19.8,135,72,2,4,5,53,10,26,89383,70406,52931,46860,18,6.8,12.9,28,10.6,18.1,12,1,6,90,3,81,8,6,0,5,0,995536,1.173000,11368136,11565,17,76,8,2979737,28,11296954,9409520,9572,57,7,5,10,20,5395686,5489,64,13,10,1,5,1,4,2,1
Bushland,188904,188 POTTER,16,3,1377,1,13,83,1,0,0,3,20.6,1,8,1,44,11,96,2.6,2.1,90,94.7,88,89,75,90,91,89,77,82,89,95,67,.,91,83,82.9,27.9,988,21.7,190,110,2,2,6,58,11,22,90539,58494,54470,50224,7,7.3,12.5,13.7,15.3,17.8,9,0,4,95,2,77,9,1,0,6,7,618400,1.270000,15759210,12067,22,70,8,3557843,31,16626194,12409003,9502,64,7,4,7,17,7980684,6111,65,16,7,0,5,1,5,1,0
Marfa,189901,189 PRESIDIO,18,2,367,1,88,10,0,0,0,1,68.9,17,12,17,22,5,93.8,1.7,27.3,17,68.2,66,69,63,60,75,70,.,64,81,.,.,.,73,66,68.8,9.1,.,16.2,77,39,3,1,4,50,15,27,68355,61261,45410,39037,54,4.7,9.5,54,8.2,28.5,27.6,0,23,72,5,83,7,3,3,4,0,454379,1.370000,6026166,15985,54,39,8,928000,21,5380834,4698159,12462,53,14,5,12,16,2479838,6578,60,14,17,1,3,0,5,1,0
Presidio,189902,189 PRESIDIO,18,3,1457,0,96,2,0,2,0,0,89.7,49,5,48,20,5,95,0.4,3.4,95,93.3,70,70,54,72,72,76,.,69,94,.,.,.,.,68,81.8,0,916,16.1,294,129,1,3,5,44,17,31,100233,63446,56322,42855,73,5,11.3,40.3,10,20.2,11.9,0,53,26,22,77,6,0,10,6,0,67564,1.411000,20473590,14062,75,8,17,1628232,9,26188492,18621185,12789,54,11,5,11,19,10097703,6935,61,8,19,3,3,0,4,1,1
Rains,190903,190 RAINS,07,4,1635,3,14,79,2,1,0,3,56.3,4,10,4,25,5,96.2,0,1,98,96,83,86,76,82,83,86,72,86,83,70,100,100,82,81,71.1,18.6,986,19.7,254,121,1,2,6,48,11,33,72786,68496,46099,43040,10,6.4,13.5,18.4,15.8,28.8,10.6,3,1,96,1,77,13,1,2,6,1,291191,1.235000,17548397,10819,42,42,16,3241953,27,18064988,14455724,8912,60,5,4,11,19,8640358,5327,59,17,12,2,4,0,4,1,1
Canyon,191901,191 RANDALL,16,16,9021,2,20,75,1,1,0,2,29.5,1,9,1,26,4,96.2,0.3,1.4,553,96.4,84,86,73,86,86,78,72,79,85,76,88,.,87,74,65.9,38.4,1029,22.6,1012,551,1,3,8,54,9,24,87983,65199,48970,46049,11,8.9,16.4,27.5,12.2,19.7,10.8,0,5,93,2,77,10,3,0,5,5,350881,1.290000,74760546,8512,35,58,8,17275044,31,71391920,62087397,7069,58,5,6,11,19,36233721,4125,70,15,5,0,4,0,3,2,1
Reagan County,192901,192 REAGAN,18,3,809,0,79,20,0,0,0,1,57.2,12,6,12,18,3,95.4,0,8.7,40,89.1,61,63,57,53,69,65,.,55,82,.,.,.,.,52,72.2,19.2,.,18.5,135,70,4,2,8,52,12,22,77652,66753,47388,41807,30,6,11.6,51.4,10,7.1,20.7,0,17,83,0,84,5,3,3,5,1,2440277,1.070000,13347372,16895,17,77,6,4859159,26,17192367,9763019,12358,53,7,4,13,23,5124348,6487,57,9,16,1,3,3,10,1,0
